iso2,year,disease
AD,1993,15
AD,1994,24
AD,1996,8
AD,1997,17
AD,1998,1
AD,1999,4
AD,2000,1
AD,2001,3
AD,2002,2
AD,2003,7
AD,2004,3
AD,2005,5
AD,2006,8
AD,2007,2
AD,2008,3
AE,1999,31
AE,2000,73
AE,2001,69
AE,2002,57
AE,2003,77
AE,2004,57
AE,2005,62
AE,2006,52
AE,2007,56
AE,2008,50
AF,1997,618
AF,1998,1833
AF,1999,1669
AF,2000,2892
AF,2001,4639
AF,2002,6509
AF,2003,6510
AF,2004,8273
AF,2005,9949
AF,2006,12468
AF,2007,13213
AF,2008,13136
AG,1996,2
AG,1999,1
AG,2000,3
AG,2001,1
AG,2002,2
AG,2003,1
AG,2005,6
AG,2006,4
AG,2007,2
AG,2008,1
AI,1995,0
AI,1997,0
AI,2001,0
AI,2002,0
AI,2004,0
AI,2006,0
AI,2007,0
AL,1994,250
AL,1995,139
AL,1996,173
AL,1997,241
AL,1998,212
AL,1999,168
AL,2000,171
AL,2001,171
AL,2002,225
AL,2003,211
AL,2004,201
AL,2005,196
AL,2006,186
AL,2007,165
AL,2008,170
AM,1994,319
AM,1995,436
AM,1996,327
AM,1997,400
AM,1998,475
AM,1999,576
AM,2000,621
AM,2001,572
AM,2002,511
AM,2003,575
AM,2004,602
AM,2005,581
AM,2006,580
AM,2007,497
AM,2008,487
AN,1996,3
AN,1997,5
AN,1998,6
AN,1999,2
AN,2000,2
AN,2001,7
AN,2002,9
AN,2003,4
AN,2004,8
AN,2006,5
AO,1993,4874
AO,1994,4337
AO,1995,3804
AO,1996,8016
AO,1997,8246
AO,1998,7333
AO,1999,7379
AO,2000,9053
AO,2001,11923
AO,2002,18087
AO,2003,18971
AO,2004,20301
AO,2005,20410
AO,2006,21499
AO,2007,21422
AO,2008,22562
AR,1993,5937
AR,1994,5696
AR,1995,5698
AR,1996,5787
AR,1997,5307
AR,1998,5186
AR,1999,4830
AR,2000,4749
AR,2001,5595
AR,2002,5498
AR,2003,4961
AR,2004,4760
AR,2005,4709
AR,2006,4834
AR,2007,4985
AR,2008,4758
AS,1993,1
AS,1994,4
AS,1996,0
AS,1997,6
AS,1998,2
AS,1999,3
AS,2000,2
AS,2001,2
AS,2002,1
AS,2003,2
AS,2004,2
AS,2005,3
AS,2006,3
AS,2007,0
AS,2008,0
AT,1995,467
AT,1996,442
AT,1997,434
AT,1998,381
AT,1999,323
AT,2000,324
AT,2001,262
AT,2002,220
AT,2003,269
AT,2004,216
AT,2005,234
AT,2006,213
AT,2007,189
AU,1993,557
AU,1997,226
AU,1998,203
AU,1999,285
AU,2000,251
AU,2001,228
AU,2002,210
AU,2003,113
AU,2004,285
AU,2005,241
AU,2006,269
AU,2007,281
AU,2008,299
AZ,1993,499
AZ,1994,513
AZ,1995,669
AZ,1996,990
AZ,1997,981
AZ,1998,727
AZ,1999,763
AZ,2000,890
AZ,2001,927
AZ,2002,1661
AZ,2003,1161
AZ,2004,1472
AZ,2005,1561
AZ,2006,1454
AZ,2007,1356
AZ,2008,1409
BA,1995,865
BA,1996,927
BA,1997,803
BA,1998,640
BA,1999,786
BA,2000,759
BA,2001,800
BA,2002,526
BA,2003,493
BA,2004,889
BA,2005,640
BA,2006,562
BA,2007,737
BA,2008,509
BB,1995,3
BB,1996,3
BB,1997,5
BB,1998,4
BB,1999,2
BB,2000,3
BB,2001,6
BB,2002,5
BB,2004,19
BB,2006,4
BB,2007,8
BB,2008,1
BD,1993,18993
